feature,importance
"Cuisines_North Indian, Street Food, Juices",0.0
"Cuisines_Cafe, Salad, Healthy Food, Sandwich, Italian, Beverages, Desserts",0.0
"Cuisines_South Indian, Chinese, North Indian",0.0
"Cuisines_Cafe, Italian, Bakery",0.0
"Cuisines_Lucknowi, Biryani",0.0
"Cuisines_Coffee, Beverages, Sandwich",0.0
"Cuisines_Biryani, Mughlai, North Indian, Rolls",0.0
"Cuisines_Mughlai, Biryani",0.0
"Cuisines_Mishti, Fast Food, North Indian, Street Food, South Indian",0.0
"Cuisines_Kerala, South Indian, Seafood",0.0
"Cuisines_North Indian, South Indian, Desserts, Beverages",0.0
"Cuisines_North Indian, Chinese, Continental, Beverages",0.0
"Cuisines_North Indian, Continental, Chinese, Steak",0.0
"Cuisines_North Indian, Chinese, Biryani",0.0
Cuisines_Mexican,0.0
"Cuisines_North Indian, Kebab, Chinese",0.0
"Cuisines_North Indian, South Indian, Fast Food, Chinese",0.0
"Cuisines_North Indian, Seafood",0.0
"Cuisines_Cafe, American, Italian, Burger",0.0
"Cuisines_Tea, Fast Food, North Indian, Chinese",0.0
"Cuisines_North Indian, Chinese, South Indian, Fast Food, Biryani",0.0
"Cuisines_Goan, Seafood, North Indian",0.0
"Cuisines_Tamil, Biryani, Chettinad, North Indian, Chinese, South Indian",0.0
"Cuisines_South Indian, Juices, Desserts",0.0
"Cuisines_Fast Food, Chinese, Beverages",0.0
"Cuisines_Bakery, Fast Food, Desserts",0.0
"Cuisines_Fast Food, Street Food, Beverages, Juices",0.0
"Cuisines_North Indian, Biryani",0.0
"Cuisines_Asian, Chinese",0.0
"Cuisines_Kerala, Seafood, Chinese",0.0
"Cuisines_Chinese, North Indian, South Indian, Street Food",0.0
"Cuisines_Cafe, Beverages, Sandwich, Fast Food, Desserts",0.0
"Cuisines_Coffee, Fast Food, Beverages",0.0
"Cuisines_Street Food, North Indian",0.0
"Cuisines_Rolls, Kebab",0.0
"Cuisines_Andhra, North Indian, Chinese, Seafood",0.0
"Cuisines_Biryani, Kebab, North Indian, Hyderabadi",0.0
"Cuisines_Beverages, Fast Food, Desserts",0.0
"Cuisines_South Indian, Mithai",0.0
"Cuisines_Salad, Healthy Food, Fast Food",0.0
"Cuisines_Healthy Food, Salad, Lebanese",0.0
"Cuisines_Finger Food, Brazilian, BBQ",0.0
"Cuisines_Continental, North Indian, Mughlai, Italian, Asian",0.0
"Cuisines_Chinese, South Indian, Burger, Sandwich, Momos, Wraps, Fast Food, Beverages",0.0
"Cuisines_Biryani, Bengali",0.0
"Cuisines_Mithai, Street Food, South Indian, North Indian, Chinese, Bakery",0.0
"Cuisines_North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",0.0
"Cuisines_Pizza, Desserts",0.0
"Cuisines_Momos, Chinese, Burger, Fast Food",0.0
"Cuisines_Arabian, Lebanese, Mughlai, North Indian, BBQ, Chinese",0.0
"Cuisines_North Indian, Thai, Chinese",0.0
"Cuisines_South Indian, Chettinad",0.0
Cuisines_Healthy Food,0.0
"Cuisines_Italian, Continental, Chinese",0.0
"Cuisines_Fast Food, North Indian, BBQ",0.0
